symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry
SOTAC.NS,2026-09-18,90.05000305175781,90.05000305175781,90.79861174689398,92.22300018310547,104.83500030517578,108.45750049591065,90.08006276873108,86.0,139.64999389648438,False,False,False,False,False,False,False,False,False,-26.728459669419237,dry,0.0,False,False,False,True,Sotac Pharma.,Pharmaceuticals & Biotechnology,Pharmaceuticals
PARTYCRUS.NS,2026-09-18,97.30000305175781,88.70416641235352,85.61111132303874,86.12700012207031,88.6059999593099,87.46375,91.12050566681032,63.04999923706055,113.8499984741211,True,True,True,False,True,True,True,True,False,32.47107841314405,noise,55.14705882352941,False,False,False,False,Party Cruisers,Other Consumer Services,Other Consumer Services
KCK.NS,2026-09-18,14.5,14.858333269755045,15.665277666515774,15.839999904632569,16.03099999109904,18.596999993324278,14.788215870912515,11.600000381469727,46.900001525878906,False,False,False,False,False,False,False,False,False,-62.82051282051282,dry,7.7816353405961936,False,True,False,False,KCK Industries,Agricultural Food & other Products,Other Agricultural Products
KCEIL.NS,2026-09-18,74.30000305175781,77.5166670481364,81.14166662428114,83.71900009155273,101.8466667175293,111.64599994659424,76.86269027477938,74.0,260.29998779296875,False,False,False,False,False,False,False,False,False,-65.26413970459726,noise,65.08205998868138,False,False,False,True,Kay Cee,Construction,Civil Construction
PURVFLEXI.NS,2026-09-18,44.400001525878906,45.68333371480306,47.844444592793785,47.61400009155273,52.017999979654945,58.725499954223636,45.36476784922593,37.0,124.9000015258789,False,False,False,False,False,False,False,False,False,-62.84518700763271,noise,54.347826086956516,False,False,False,False,Purv Flexi,Industrial Products,Plastic Products - Industrial
HOLMARC.NS,2026-09-18,110.0,107.42916679382324,106.10852983262804,106.7070394897461,98.04582043965658,98.43767839431763,108.3461640689589,59.771732330322266,126.2124252319336,True,False,False,True,True,True,True,True,False,-5.099092617757128,noise,28.49002849002849,False,False,False,False,Holmarc Opto,Industrial Products,Other Industrial Products
ROXHITECH.NS,2026-09-18,44.0,46.09583346048991,49.0986115137736,46.39500015258789,38.174000078837075,38.744750032424925,45.75810393132525,22.950000762939453,58.900001525878906,True,False,False,True,False,True,False,False,False,-7.465823962187724,dry,15.89825119236884,False,False,False,False,ROX Hi-Tech,IT - Services,IT Enabled Services
MDL.NS,2026-09-18,60.0,61.49583339691162,60.151388804117836,62.80700012207031,58.67066670735677,60.83724994659424,60.79776248396523,43.0,104.80000305175781,False,False,False,True,False,True,False,False,False,-36.8421052631579,noise,316.0919540229885,False,False,False,False,Marvel Decor,Consumer Durables,"Furniture, Home Furnishing"
KHFM.NS,2026-09-18,43.0,44.26250044504801,46.54861174689399,47.21500045776367,54.87400021870931,58.21025009155274,44.1139961018134,41.29999923706055,82.94999694824219,False,False,False,False,False,False,False,False,False,-41.0958904109589,dry,0.0,False,False,False,False,KHFM Hospitality,Commercial Services & Supplies,Diversified Commercial Services
TBI.NS,2026-09-18,82.44999694824219,76.2666670481364,67.89305538601346,66.60099960327149,66.93233317057292,70.6664998626709,77.4334609393497,55.0,105.8499984741211,True,False,False,False,True,True,True,True,False,-18.808474179740564,noise,51.86946185433327,False,False,False,False,TBI Corn,Agricultural Food & other Products,Other Agricultural Products
CLSL.NS,2026-09-18,71.55000305175781,82.07083384195964,78.98333379957411,73.08100036621094,54.2563335164388,53.047500133514404,80.27858570231936,39.04999923706055,92.25,True,True,True,True,False,True,True,False,False,19.250005086263023,noise,37.878787878787875,False,False,False,False,Crop Life Scienc,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
GREENCHEF.NS,2026-09-18,73.5,66.49583371480306,57.3736113442315,54.79599998474121,52.05400001525879,52.538250045776365,67.58994603239863,40.400001525878906,74.0,True,False,False,True,True,True,True,True,False,5.98414076018694,green,140.14014014014015,False,False,True,False,Greenchef Appli.,Consumer Durables,Household Appliances
MEGAFLEX.NS,2026-09-18,94.55000305175781,95.73333358764648,97.18888897365994,98.34400009155273,123.92166646321614,120.8037498474121,96.00912667418055,43.5,155.0500030517578,False,True,False,False,False,True,False,False,False,51.8875551032254,red,192.30769230769232,False,False,False,False,Mega Flex Plast.,Industrial Products,Packaging
DOLLEX.NS,2026-09-18,37.20000076293945,37.25,33.85277779897054,32.70100006103516,31.76066664377848,33.392250032424926,37.203337217737605,26.0,43.54999923706055,True,False,False,False,True,True,True,False,False,-12.778430405524222,dry,16.69660670120445,False,True,False,False,Dollex Agrotech,Agricultural Food & other Products,Sugar
ALUWIND.NS,2026-09-18,49.849998474121094,47.770833333333336,48.73611142900255,48.29700019836426,52.18800003051758,56.18750001907349,47.791688692105005,40.0,95.80000305175781,False,False,False,False,True,False,False,True,False,-37.76529410268746,noise,88.42443729903538,False,False,False,False,Aluwind Infra,Industrial Products,"Aluminium, Copper & Zinc Products"
KDL.NS,2026-09-18,78.75,89.02083206176758,95.09444406297472,100.63099975585938,122.0729997253418,132.66524967193604,88.18445134645343,78.75,250.0,False,False,False,False,False,False,False,False,False,-65.86475897627876,noise,97.47882004695315,False,False,False,True,Kore Digital,Telecom - Services,Telecom - Infrastructure
NEPHROCARE.NS,2026-09-18,93.75,91.59999974568684,86.48750029669867,80.4960001373291,76.45666681925455,85.34550014495849,92.5928725876106,50.04999923706055,165.9499969482422,True,False,False,False,True,True,False,True,False,-40.926274856466904,noise,45.05698383249403,False,False,False,False,Nephro Care,Healthcare Services,Hospital
URBAN.NS,2026-09-18,120.94999694824219,122.72499910990398,135.42777803209094,133.75800003051756,135.76266693115235,138.3815003967285,124.14883933183452,114.0,193.1999969482422,False,False,False,False,False,False,False,False,False,-26.137406443821565,noise,31.104199066874028,False,False,False,False,Urban Enviro,Other Utilities,Waste Management
SHIGAN.NS,2026-09-18,62.0,68.05416615804036,66.30973603990343,65.30589065551757,65.51844367980956,62.69775989532471,66.33371911294401,40.91087714844722,87.38245391845703,False,True,False,False,False,True,False,False,False,-12.05892646160952,dry,0.0,False,False,False,False,Shigan Quantum,Auto Components,Auto Components & Equipments
SRIVASAVI.NS,2026-09-18,73.05000305175781,74.34583409627278,79.7972223493788,81.29400009155273,63.80033335367838,59.77275001525879,73.65194878947747,39.0,98.0,True,True,True,True,False,True,False,False,False,7.902520450046402,noise,40.98360655737705,False,False,False,False,Srivasavi Adhes.,Industrial Products,Other Industrial Products
GIRIRAJ.NS,2026-09-18,77.30000305175781,80.03750101725261,74.40694522857666,84.4300008392334,133.0403330739339,145.77799936294556,81.59494900401097,52.29999923706055,378.0,False,False,False,False,False,True,False,False,False,-72.38299223388131,dry,8.00996796012816,False,False,False,False,Giriraj Civil,Construction,Civil Construction
VR.NS,2026-09-18,105.80000305175781,106.02916653951009,124.09305614895291,118.82000076293946,131.66766626993814,139.58099971771242,107.75550378976902,98.0,217.89999389648438,False,False,False,False,False,False,False,False,False,-49.83404167205078,dry,0.0,False,False,False,False,V R Infraspace,Realty,"Residential, Commercial Projects"
WINSOL.NS,2026-09-18,112.75,111.20938809712727,112.21121088663737,113.08469909667969,121.7592532857259,128.14598716735838,110.47689769816392,92.65537023048489,202.25627654368094,False,False,False,False,False,False,False,True,False,-42.171382723800136,dry,13.568521031207597,False,False,False,False,Winsol Engineers,Construction,Civil Construction
SIDDHIKA.NS,2026-09-18,214.8000030517578,224.29583231608072,217.38333468967014,216.87700073242186,212.4806450398763,210.53505737304687,223.8763001937827,177.36545304900235,245.4545420985068,True,True,False,True,False,False,True,False,False,9.116095886694575,red,657.8947368421052,False,False,False,False,Siddhika Coatins,Consumer Durables,Paints
ENSER.NS,2026-09-18,14.100000381469727,14.891666730244955,14.827777756585014,14.466999969482423,14.287666657765707,14.667249975204468,14.719173744453698,7.800000190734863,23.149999618530273,False,False,False,False,False,True,False,False,False,-31.21951033429402,noise,63.52087114337568,False,False,False,False,Enser,IT - Services,IT Enabled Services
CANARYS.NS,2026-09-18,24.899999618530273,24.487499713897705,23.388888835906982,22.120999908447267,21.39499999364217,23.272249999046327,24.110620403254714,14.600000381469727,35.20000076293945,True,False,False,False,True,True,False,True,False,-17.000001271565758,ppv,282.79654359780045,False,False,False,False,Canarys Automa.,IT - Software,Computers - Software & Consulting
EMMIL.NS,2026-09-18,114.9000015258789,119.2041670481364,121.96666675143771,122.89900009155274,134.00366658528645,144.72024978637694,118.36749740809383,110.0,207.0,False,False,False,False,False,False,False,False,False,-36.86813102973686,noise,68.6059275521405,False,False,False,False,Energy-Mission,Industrial Manufacturing,Industrial Products
SHRITECH.NS,2026-09-18,60.5,59.72499974568685,59.78055551317003,60.36300025939941,62.29366678873698,61.73350004196167,59.71468549482964,51.349998474121094,77.5,False,True,False,False,True,False,True,True,False,-14.305947156391674,noise,56.81818181818182,False,False,False,False,Shri Techtex,Industrial Products,Plastic Products - Industrial
ENFUSE.NS,2026-09-18,142.0,155.68333307902017,160.84583282470703,162.49899963378905,175.2483331298828,186.42874977111816,153.4386293596348,142.0,260.0,False,False,False,False,False,False,False,False,False,-35.600907029478456,noise,96.7741935483871,False,False,False,True,Enfuse Solutions,IT - Services,IT Enabled Services
ROCKINGDCE.NS,2026-09-18,234.0,228.15833282470703,204.6833322313097,197.3439990234375,191.74899922688803,197.95124931335448,226.66328353518855,123.9000015258789,283.8500061035156,True,False,False,False,True,True,True,True,False,17.73584905660377,noise,22.23869532987398,False,False,False,False,Rockingdeals Cir,Commercial Services & Supplies,Trading & Distributors
QUESTLAB.NS,2026-09-18,74.25,81.73333358764648,86.66944440205891,88.43699951171875,104.67099980672201,103.18624984741211,80.24160671695707,73.55000305175781,152.60000610351562,False,True,False,False,False,False,False,False,False,-23.453608247422686,noise,86.63366336633663,False,True,False,True,Quest Laborato.,Pharmaceuticals & Biotechnology,Pharmaceuticals
IBLFL.NS,2026-09-18,61.0,60.58333365122477,60.9902778201633,60.66,56.2596666208903,56.70274993896484,60.777520064135565,43.95000076293945,72.80000305175781,True,False,False,True,True,True,True,True,False,-3.3280483754406953,dry,0.0,False,False,False,False,IBL Finance,Finance,Non Banking Financial Company (NBFC)
SPECTSTM.NS,2026-09-18,60.0,58.770833333333336,62.0763889948527,61.52600021362305,63.5093334197998,69.12474988937377,59.450589234223486,50.75,107.05000305175781,False,False,False,False,False,False,False,True,False,-43.55597527990116,noise,39.0625,False,False,False,False,Spectrum Talent,Commercial Services & Supplies,Diversified Commercial Services
TUNWAL.NS,2026-09-18,25.649999618530273,25.104166825612385,25.78611108991835,25.92599998474121,28.823999888102215,30.220499897003172,25.23272592403137,24.299999237060547,49.79999923706055,False,False,False,False,False,False,False,True,False,-16.58536709421049,noise,29.900332225913623,False,True,False,False,Tunwal E-Motors,Automobiles,2/3 Wheelers
LLOYDS.NS,2026-09-18,57.900001525878906,57.541666666666664,62.2972223493788,65.20500030517579,70.06733385721843,69.17850036621094,57.74209293018904,34.79999923706055,98.9000015258789,False,True,False,False,False,True,False,True,False,-38.04172989117682,ppv,398.936170212766,True,False,False,False,Lloyds Luxuries,Leisure Services,Wellness
544671.BO,2026-09-18,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,False,False,False,Apollo Techno,Industrial Manufacturing,Industrial Products
SILKFLEX.NS,2026-09-18,280.3500061035156,277.7124989827474,235.79722171359592,226.2959991455078,188.43133321126302,165.09299991607665,272.06398943010686,76.0,302.70001220703125,True,True,True,True,True,True,True,True,False,203.08108767947635,noise,89.42457231726283,False,False,False,False,Silkflex Polymer,Chemicals & Petrochemicals,Specialty Chemicals
