Name,Symbol,Industry Group,Industry,Current Price
Lambodhara Text.,LAMBODHARA,Textiles & Apparels,Other Textile Products,134.67
Lamosaic India,LAMOSAIC,Consumer Durables,Plywood Boards/ Laminates,60.85
Lancer Containe.,LANCER,Transport Services,Logistics Solution Provider,13.03
Lancor Holdings,LANCORHOL,Realty,"Residential, Commercial Projects",40.35
Landmark Cars,LANDMARK,Automobiles,Auto Dealer,510.15
Landmark Prop.,LPDC,Realty,Real Estate related services,6.73
Landsmill Green,LANDSMILL,Commercial Services & Supplies,Trading & Distributors,0.63
Larsen & Toubro,LT,Construction,Civil Construction,3964.1
Lasa Supergeneri,LASA,Pharmaceuticals & Biotechnology,Pharmaceuticals,6.73
Laser Power,LASERPOWER,Industrial Products,Cables - Electricals,295.65
Latent View,LATENTVIEW,IT - Software,Computers - Software & Consulting,267.25
Latteys Industri,LATTEYS,Industrial Products,"Compressors, Pumps & Diesel Engines",20.5
Laurus Labs,LAURUSLABS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1840
Laxmi Cotspin,LAXMICOT,Textiles & Apparels,Other Textile Products,13.73
Laxmi Dental,LAXMIDENTL,Healthcare Equipment & Supplies,Medical Equipment & Supplies,199.14
Laxmi Goldorna,LGHL,Consumer Durables,"Gems, Jewellery And Watches",175.42
Laxmi India Fin.,LAXMIINDIA,Finance,Non Banking Financial Company (NBFC),132.6
Laxmi Organic,LXCHEM,Chemicals & Petrochemicals,Specialty Chemicals,172.04
LCC Infotech,LCCINFOTEC,Other Consumer Services,Education,3.81
Le Merite Export,LEMERITE,Textiles & Apparels,Other Textile Products,20.93
Le Travenues,IXIGO,Leisure Services,"Tour, Travel Related Services",166.75
Lead Reclaim,LRRPL,Industrial Products,Rubber,88
Leap India,LEAPIND,Commercial Services & Supplies,Diversified Commercial Services,150.26
Lee & Nee Soft.,LEENEE,IT - Services,IT Enabled Services,8.45
Leela Palaces Hotels,THELEELA,Leisure Services,Hotels & Resorts,554.05
Lemon Tree Hotel,LEMONTREE,Leisure Services,Hotels & Resorts,104.95
Lenskart Solut.,LENSKART,Retailing,Speciality Retail,684.9
Lexus Granito,LEXUS,Consumer Durables,"Furniture, Home Furnishing",13.53
LG Electronics,LGEINDIA,Consumer Durables,Household Appliances,1640.7
Libas Consumer,LIBAS,Textiles & Apparels,Garments & Apparels,10.46
Liberty Shoes,LIBERTSHOE,Consumer Durables,Footwear,233.27
LIC Housing Fin.,LICHSGFIN,Finance,Housing Finance Company,562.05
Life Insurance,LICI,Insurance,Life Insurance,415.35
Likhitha Infra.,LIKHITHA,Construction,Civil Construction,204.8
Linc,LINC,Household Products,Stationary,95.07
Lincoln Pharma.,LINCOLN,Pharmaceuticals & Biotechnology,Pharmaceuticals,620.8
Linde India,LINDEINDIA,Chemicals & Petrochemicals,Industrial Gases,6346
LKP Securities,LKPSEC,Capital Markets,Stockbroking & Allied,15.28
Lloyds Engineeri,LLOYDSENGG,Industrial Manufacturing,Industrial Products,84.21
Lloyds Enterpris,LLOYDSENT,Metals & Minerals Trading,Trading - Metals,74.23
Lloyds Luxuries,LLOYDS,Leisure Services,Wellness,58
Lloyds Metals,LLOYDSME,Minerals & Mining,Industrial Minerals,1823
LMW,LMW,Industrial Manufacturing,Industrial Products,18774
Lodha Developers,LODHA,Realty,"Residential, Commercial Projects",1222
Lohia Corp,LCL,Industrial Manufacturing,Industrial Products,581.5
Lokesh Mach.,LOKESHMACH,Industrial Manufacturing,Industrial Products,364.6
Lords Chloro,LORDSCHLO,Chemicals & Petrochemicals,Commodity Chemicals,146.6
Lorenzini Appar.,LAL,Textiles & Apparels,Garments & Apparels,8.91
Lotus Chocolate,LOTUSCHO,Food Products,Packaged Foods,630.4
Lotus Eye Hospit,LOTUSEYE,Healthcare Services,Hospital,109.43
Lovable Lingerie,LOVABLE,Textiles & Apparels,Garments & Apparels,71.37
Loyal Textile,LOYALTEX,Textiles & Apparels,Other Textile Products,218.14
LTM,LTM,IT - Software,Computers - Software & Consulting,4554
Lumax Auto Tech.,LUMAXTECH,Auto Components,Auto Components & Equipments,1951.9
Lumax Industries,LUMAXIND,Auto Components,Auto Components & Equipments,6181.5
Lumino Inds,LUMINO,Industrial Products,Cables - Electricals,114.5
Lupin,LUPIN,Pharmaceuticals & Biotechnology,Pharmaceuticals,2110
Lux Industries,LUXIND,Textiles & Apparels,Garments & Apparels,1175.1
Lyka Labs,LYKALABS,Pharmaceuticals & Biotechnology,Pharmaceuticals,78.36
M & B Engineer.,MBEL,Construction,Civil Construction,270.15
M & M,M&M,Automobiles,Passenger Cars & Utility Vehicles,3170
M & M Fin. Serv.,M&MFIN,Finance,Non Banking Financial Company (NBFC),373.65
M B Agro Prod.,MBAPL,Fertilizers & Agrochemicals,Fertilizers,166.12
M K Exim India,MKEXIM,Retailing,Distributors,62.18
M K Proteins,MKPL,Agricultural Food & other Products,Edible Oil,4.02
M M Forgings,MMFL,Auto Components,Auto Components & Equipments,630.1
M R P L,MRPL,Petroleum Products,Refineries & Marketing,174.83
M T N L,MTNL,Telecom - Services,Telecom - Cellular & Fixed line services,26.55
M Tek Copper,MCL,Industrial Products,"Aluminium, Copper & Zinc Products",58.3
M.V.K. Agro,MVKAGRO,Agricultural Food & other Products,Sugar,236.35
Maan Aluminium,MAANALU,Non - Ferrous Metals,Aluminium,117.9
Mac Charles(I),MCCHRLS-B,Leisure Services,Hotels & Resorts,670
Macobs Technolo.,MACOBSTECH,Personal Products,Personal Care,201.9
Macpower CNC,MACPOWER,Industrial Manufacturing,Industrial Products,1904.9
Madhav Infra,MADHAVIPL,Construction,Civil Construction,7.98
Madhav Marbles,MADHAV,Consumer Durables,Granites & Marbles,35.36
Madhucon Project,MADHUCON,Construction,Civil Construction,4.63
Madhur Knit,MADHURKNIT,Textiles & Apparels,Garments & Apparels,85.75
Madhusudan Masa,MADHUSUDAN,Food Products,Other Food Products,236
Madhya Prad. Tod,MPTODAY,Media,Print Media,41.55
Madras Fertilize,MADRASFERT,Fertilizers & Agrochemicals,Fertilizers,65.12
Mafatlal Inds.,MAFATIND,Textiles & Apparels,Other Textile Products,121.66
Magadh Sugar,MAGADSUGAR,Agricultural Food & other Products,Sugar,552.05
Magellanic Cloud,MCLOUD,IT - Software,Computers - Software & Consulting,26.29
Magnum Ventures,MAGNUM,"Paper, Forest & Jute Products",Paper & Paper Products,19
Magson Retail,MAGSON,Food Products,Packaged Foods,184
Mah. Scooters,MAHSCOOTER,Finance,Investment Company,13602
Mah. Seamless,MAHSEAMLES,Industrial Products,Iron & Steel Products,688.1
Maha Rashtra Apx,MAHAPEXLTD,Finance,Other Financial Services,53.51
Mahalaxmi Fab.,MFML,Textiles & Apparels,Other Textile Products,18.59
Mahalaxmi Rubtec,MHLXMIRU,Textiles & Apparels,Other Textile Products,174.89
Mahamaya Steel,MAHASTEEL,Industrial Products,Iron & Steel Products,1282.5
Mahanagar Gas,MGL,Gas,LPG/CNG/PNG/LNG Supplier,1096.6
Mahendra Realtor,MRIL,Construction,Civil Construction,57.3
Maheshwari Logi.,MAHESHWARI,Diversified,Diversified,72.21
Mahickra Chem.,MAHICKRA,Chemicals & Petrochemicals,Dyes And Pigments,290
Mahindra EPC,MAHEPC,Industrial Manufacturing,Industrial Products,103.62
Mahindra Holiday,MHRIL,Leisure Services,Hotels & Resorts,207.4
Mahindra Life.,MAHLIFE,Realty,"Residential, Commercial Projects",362.4
Mahindra Logis.,MAHLOG,Transport Services,Logistics Solution Provider,405.35
Maithan Alloys,MAITHANALL,Ferrous Metals,Ferro & Silica Manganese,1090.55
Maitreya Medica.,MAITREYA,Healthcare Services,Hospital,120
Majestic Auto,MAJESAUT,Commercial Services & Supplies,Diversified Commercial Services,354.95
Makers Labs.,MAKERSL,Pharmaceuticals & Biotechnology,Pharmaceuticals,189.9
Maks Energy,MAKS,Industrial Products,"Compressors, Pumps & Diesel Engines",15.1
Mallcom (India),MALLCOM,Industrial Products,Other Industrial Products,1018.15
Malu Paper,MALUPAPER,"Paper, Forest & Jute Products",Paper & Paper Products,31.65
Mamata Machinery,MAMATA,Industrial Manufacturing,Industrial Products,412.55
Man Industries,MANINDS,Industrial Products,Iron & Steel Products,788.55
Man Infra,MANINFRA,Realty,"Residential, Commercial Projects",124.8
Manaksia,MANAKSIA,Industrial Products,Iron & Steel Products,63.05
Manaksia Alumi.,MANAKALUCO,Non - Ferrous Metals,Aluminium,38.1
Manaksia Coated,MANAKCOAT,Industrial Products,Iron & Steel Products,121.8
Manaksia Steels,MANAKSTEEL,Ferrous Metals,Iron & Steel,107.3
Manali Petrochem,MANALIPETC,Chemicals & Petrochemicals,Petrochemicals,86.76
Manappuram Fin.,MANAPPURAM,Finance,Non Banking Financial Company (NBFC),339.7
Manas Polymers,MPEL,Industrial Products,Plastic Products - Industrial,27.35
Manav Infra,MANAV,Construction,Civil Construction,38.7
Manba Finance,MANBA,Finance,Non Banking Financial Company (NBFC),128.95
Mandeep Auto,MANDEEP,Auto Components,Auto Components & Equipments,18
Mangal Credit,MANCREDIT,Finance,Non Banking Financial Company (NBFC),228.33
Mangal Electrica,MEIL,Electrical Equipment,Other Electrical Equipment,285.1
Mangalam Alloys,MAL,Industrial Products,Iron & Steel Products,38.2
Mangalam Cement,MANGLMCEM,Cement & Cement Products,Cement & Cement Products,1095.2
Mangalam Drugs,MANGALAM,Pharmaceuticals & Biotechnology,Pharmaceuticals,30.02
Mangalam Global,MGEL,Agricultural Food & other Products,Other Agricultural Products,14.24
Mangalam Organic,MANORG,Chemicals & Petrochemicals,Commodity Chemicals,489.5
MANGALAM SEEDS,MSL,Agricultural Food & other Products,Other Agricultural Products,142.22
Mangalam World.,MWL,Metals & Minerals Trading,Trading - Metals,38.56
Manglam Infra,MIEL,Commercial Services & Supplies,Consulting Services,11.85
Manilam Industries,MANILAM,Consumer Durables,Plywood Boards/ Laminates,48
Manipal Health,MANIPALHOS,Healthcare Services,Hospital,725.2
Mankind Pharma,MANKIND,Pharmaceuticals & Biotechnology,Pharmaceuticals,2327.9
Manoj Vaibhav,MVGJL,Consumer Durables,"Gems, Jewellery And Watches",179.9
Manomay Tex Indi,MANOMAY,Textiles & Apparels,Other Textile Products,234.97
Manorama Indust.,MANORAMA,Food Products,Other Food Products,1993.4
Manugraph India,MANUGRAPH,Industrial Manufacturing,Industrial Products,14.75
Maral Overseas,MARALOVER,Textiles & Apparels,Other Textile Products,61.83
Marathon Nextgen,MARATHON,Realty,"Residential, Commercial Projects",437.9
Marc Technocrats,MARC,Commercial Services & Supplies,Consulting Services,148.6
Marco Cables,MARCO,Industrial Products,Cables - Electricals,31.15
Marico,MARICO,Agricultural Food & other Products,Edible Oil,815.15
Marine Electric.,MARINE,Industrial Manufacturing,Industrial Products,432.15
Marinetrans Indi,MARINETRAN,Transport Services,Logistics Solution Provider,16.1
Markolines Pavem,MARKOLINES,Construction,Civil Construction,171.89
Marksans Pharma,MARKSANS,Pharmaceuticals & Biotechnology,Pharmaceuticals,326.75
Marsons,MARSONS,Electrical Equipment,Heavy Electrical Equipment,137.56
Marushika Tech.,MARUSHIKA,IT - Hardware,Computers Hardware & Equipments,109.6
Maruti Suzuki,MARUTI,Automobiles,Passenger Cars & Utility Vehicles,12694
Marvel Decor,MDL,Consumer Durables,"Furniture, Home Furnishing",62
MAS FINANC SER,MASFIN,Finance,Non Banking Financial Company (NBFC),295
MASK INVESTMENTS,MASKINVEST,Finance,Investment Company,148.64
Mason Infratech,MASON,Realty,"Residential, Commercial Projects",113.9
Mastek,MASTEK,IT - Software,Computers - Software & Consulting,1772.9
Master Component,MASTER,Industrial Products,Plastic Products - Industrial,429.95
Master Trust,MASTERTR,Capital Markets,Stockbroking & Allied,89.16
Matrimony.com,MATRIMONY,Retailing,Internet & Catalogue Retail,529.05
Matrix Geo Sol.,MGSL,IT - Services,IT Enabled Services,73.8
Mawana Sugars,MAWANASUG,Agricultural Food & other Products,Sugar,145.43
Max Estates,MAXESTATES,Realty,"Residential, Commercial Projects",542.1
Max Financial,MFSL,Insurance,Life Insurance,1548.4
Max Healthcare,MAXHEALTH,Healthcare Services,Hospital,984.8
Max India Ltd,MAXIND,Finance,Holding Company,150.66
Maxposure,MAXPOSURE,Entertainment,Media & Entertainment,29.8
Maxvolt Energy,MAXVOLT,Auto Components,Auto Components & Equipments,324.8
Mayasheel Vent.,MAYASHEEL,Construction,Civil Construction,37.9
Mayur Uniquoters,MAYURUNIQ,Consumer Durables,Leather And Leather Products,734.85
Mazagon Dock,MAZDOCK,Industrial Manufacturing,Ship Building & Allied Services,2475
Mazda,MAZDA,Industrial Manufacturing,Industrial Products,270
MBL Infrast,MBLINFRA,Construction,Civil Construction,24.3
Mcleod Russel,MCLEODRUSS,Agricultural Food & other Products,Tea & Coffee,46.3
McNally Bharat,MBECL,Construction,Civil Construction,258.89
MCON Rasayan,MCON,Other Construction Materials,Other Construction Materials,44
Medi Assist Ser.,MEDIASSIST,Insurance,Insurance Distributors,340.35
Medi Caps,MEDICAPQ,Pharmaceuticals & Biotechnology,Pharmaceuticals,26.29
Media Matrix,MMWL,Entertainment,"Film Production, Distribution & Exhibition",14.53
Medicamen Biotec,MEDICAMEQ,Pharmaceuticals & Biotechnology,Pharmaceuticals,270.25
Medicamen Organ.,MEDIORG,Pharmaceuticals & Biotechnology,Pharmaceuticals,26.5
Medico Remedies,MEDICO,Pharmaceuticals & Biotechnology,Pharmaceuticals,39.87
Medistep Health.,MEDISTEP,Personal Products,Personal Care,22.9
Medplus Health,MEDPLUS,Retailing,Pharmacy Retail,676.35
Meesho,MEESHO,Retailing,E-Retail/ E-Commerce,209
Mega Flex Plast.,MEGAFLEX,Industrial Products,Packaging,91
Megastar Foods,MEGASTAR,Food Products,Other Food Products,307.6
Megatherm Indu.,MEGATHERM,Industrial Products,Other Industrial Products,228.75
Meghmani Organi.,MOL,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,66.66
Meghna Infracon,MIIL,Realty,"Residential, Commercial Projects",717.05
Menon Bearings,MENONBE,Auto Components,Auto Components & Equipments,321.4
Menon Pistons,MENNPIS,Auto Components,Auto Components & Equipments,77.64
MEP Infrast.,MEP,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",0.71
Mercantile Vent.,MERCANTILE,Commercial Services & Supplies,Diversified Commercial Services,25.45
Mercury EV-Tech,MERCURYEV,Automobiles,Passenger Cars & Utility Vehicles,36.74
Metalic Technoforge,METALIC,Industrial Products,Iron & Steel Products,134.65
Metro Brands,METROBRAND,Consumer Durables,Footwear,929.15
Metroglobal,METROGLOBL,Commercial Services & Supplies,Trading & Distributors,136.14
Metropolis Healt,METROPOLIS,Healthcare Services,Healthcare Service Provider,588.7
MIC Electronics,MICEL,Industrial Products,Other Industrial Products,36.74
Micropro Softwar,MICROPRO,IT - Software,Computers - Software & Consulting,19.85
Midwest,MIDWESTLTD,Consumer Durables,Granites & Marbles,1062.1
Milkfood,MLKFOOD,Food Products,Dairy Products,83.63
Milky Mist Dairy,MILKYMIST,Food Products,Dairy Products,252.43
Milton Industri.,MILTON,Consumer Durables,Plywood Boards/ Laminates,38.1
Minal Industries,MINALIND,Commercial Services & Supplies,Trading & Distributors,5.35
Minda Corp,MINDACORP,Auto Components,Auto Components & Equipments,702.8
Mindpool Tech.,MINDPOOL,IT - Services,IT Enabled Services,71.1
Mindspace Busine,MINDSPACE,Realty,Real Estate Investment Trusts (REITs),501.11
Mindteck (India),MINDTECK,IT - Software,Computers - Software & Consulting,168.81
Mirza Internatio,MIRZAINT,Consumer Durables,Leather And Leather Products,30.96
Mishra Dhatu Nig,MIDHANI,Aerospace & Defense,Aerospace & Defense,418.8
Mitcon Consult.,MITCON,Commercial Services & Supplies,Consulting Services,77.8
Mittal Life Styl,MITTAL,Textiles & Apparels,Garments & Apparels,0.8
MMP Industries,MMP,Non - Ferrous Metals,Aluminium,404.15
MMTC,MMTC,Commercial Services & Supplies,Trading & Distributors,64.18
Mobilise App,MOBILISE,IT - Software,Software Products,108.15
Modern Threads,MODTHREAD,Textiles & Apparels,Other Textile Products,54.37
Modi Naturals,MODINATUR,Agricultural Food & other Products,Other Agricultural Products,340.95
Modi Rubber,MODIRUBBER,Auto Components,Tyres & Rubber Products,131.3
Modi's Navnirman,MODIS,Realty,"Residential, Commercial Projects",380.85
Modison,MODISONLTD,Electrical Equipment,Other Electrical Equipment,469.95
Mohini Health,MHHL,Healthcare Equipment & Supplies,Medical Equipment & Supplies,31.4
Mohit Industries,MOHITIND,Textiles & Apparels,Other Textile Products,23.78
Mohite Industrie,MOHITE,Textiles & Apparels,Other Textile Products,2.79
MOIL,MOIL,Minerals & Mining,Industrial Minerals,252.3
Moksh Ornaments,MOKSH,Consumer Durables,"Gems, Jewellery And Watches",10.07
Molbio Diagnosti,MOLBIO,Healthcare Equipment & Supplies,Medical Equipment & Supplies,1160.5
Mold-Tek Pack.,MOLDTKPAC,Industrial Products,Packaging,706.65
Mold-Tek Technol,MOLDTECH,Construction,Civil Construction,208.96
Monarch Networth,MONARCH,Capital Markets,Stockbroking & Allied,377.9
Moneyboxx Fin.,MONEYBOXX,Finance,Non Banking Financial Company (NBFC),58.8
Mono Pharmacare,MONOPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,8.95
Monolithisch Ind,MONOLITH,Industrial Products,Electrodes & Refractories,1265.65
Monte Carlo Fas.,MONTECARLO,Textiles & Apparels,Garments & Apparels,574.5
Morarjee Text.,MORARJEE,Textiles & Apparels,Other Textile Products,9.7
Morepen Labs.,MOREPENLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals,113.74
MOS Utility,MOS,Financial Technology (Fintech),Financial Technology (Fintech),7.55
Moschip Tech.,MOSCHIP,IT - Hardware,Computers Hardware & Equipments,212.22
Motherson Wiring,MSUMI,Auto Components,Auto Components & Equipments,36.52
Motil.Oswal.Fin.,MOTILALOFS,Capital Markets,Stockbroking & Allied,1037
Motisons Jewel,MOTISONS,Consumer Durables,"Gems, Jewellery And Watches",16.48
Motor & Gen Fin,MOTOGENFIN,Commercial Services & Supplies,Diversified Commercial Services,28.71
Moving Media,MMEL,Commercial Services & Supplies,Diversified Commercial Services,25.25
Moxsh Overseas,MOXSH,Other Consumer Services,Education,99
MPDL Ltd,MPDL,Realty,"Residential, Commercial Projects",33.98
Mphasis,MPHASIS,IT - Software,Computers - Software & Consulting,2422
MPS,MPSLTD,Printing & Publication,Printing & Publication,2658.9
MRF,MRF,Auto Components,Tyres & Rubber Products,129945
Mrs Bectors,BECTORFOOD,Food Products,Packaged Foods,225.96
MSP Steel & Pow.,MSPL,Industrial Products,Iron & Steel Products,35.4
MSTC,MSTCLTD,Commercial Services & Supplies,Trading & Distributors,734.2
MT Educare,MTEDUCARE,Other Consumer Services,Education,1.77
MTAR Technologie,MTARTECH,Electrical Equipment,Other Electrical Equipment,7161
Mufin Green,MUFIN,Finance,Non Banking Financial Company (NBFC),137.56
Mukand,MUKANDLTD,Industrial Products,Iron & Steel Products,134.44
Mukesh Babu Fin.,MUKESHB,Finance,Non Banking Financial Company (NBFC),133.91
Mukka Proteins,MUKKA,Food Products,Animal Feed,31.34
Mukta Arts,MUKTAARTS,Entertainment,"Film Production, Distribution & Exhibition",58.9
Multi Comm. Exc.,MCX,Capital Markets,Exchange and Data Platform,3275.4
Munish Forge,MUNISH,Industrial Products,Castings & Forgings,83.05
Munjal Auto Inds,MUNJALAU,Auto Components,Auto Components & Equipments,112.28
Munjal Showa,MUNJALSHOW,Auto Components,Auto Components & Equipments,129.21
Murudesh.Ceramic,MURUDCERA,Consumer Durables,Ceramics,29.66
Music Broadcast,RADIOCITY,Entertainment,Media & Entertainment,6.28
Muthoot Cap.Serv,MUTHOOTCAP,Finance,Non Banking Financial Company (NBFC),241.72
Muthoot Finance,MUTHOOTFIN,Finance,Non Banking Financial Company (NBFC),2913.8
Muthoot Microfin,MUTHOOTMF,Finance,Microfinance Institutions,205.29
MV Electrosystems,MVELECTRO,Industrial Manufacturing,Industrial Products,729.7
My Mudra Fin.,MYMUDRA,Finance,Other Financial Services,72
Mysore Petro,MYSORPETRO,Chemicals & Petrochemicals,Trading - Chemicals,127.12
N K Industries,NKIND,Agricultural Food & other Products,Edible Oil,57.1
N R Agarwal Inds,NRAIL,"Paper, Forest & Jute Products",Paper & Paper Products,584
N R Vandana,NRVANDANA,Textiles & Apparels,Garments & Apparels,69.9
NACL Industries,NACLIND,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,166.84
Naga Dhunseri,NDGL,Finance,Non Banking Financial Company (NBFC),2787.7
Nagarjuna Fert.,NAGAFERT,Fertilizers & Agrochemicals,Fertilizers,2.05
Nagreeka Cap.,NAGREEKCAP,Finance,Investment Company,23.25
Nagreeka Exports,NAGREEKEXP,Textiles & Apparels,Other Textile Products,24.1
Nahar Capital,NAHARCAP,Finance,Investment Company,261.75
Nahar Indl. Ent.,NAHARINDUS,Textiles & Apparels,Other Textile Products,137.63
Nahar Poly,NAHARPOLY,Industrial Products,Packaging,244.54
Nahar Spinning,NAHARSPING,Textiles & Apparels,Other Textile Products,289.8
Nakoda Group,NGIL,Food Products,Packaged Foods,40.58
Nalwa Sons Invst,NSIL,Finance,Investment Company,5721.5
Naman Industries Proxima,NAMAN,Consumer Durables,"Furniture, Home Furnishing",40.1
Namo eWaste,NAMOEWASTE,Other Utilities,Waste Management,274.1
Nandan Denim,NDL,Textiles & Apparels,Other Textile Products,2.83
Nandani Creation,JAIPURKURT,Textiles & Apparels,Garments & Apparels,25.33
Narayana Hrudaya,NH,Healthcare Services,Hospital,1858.5
Narmada Agrobase,NARMADA,Food Products,Animal Feed,13.51
Natco Pharma,NATCOPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals,828.65
Nath Bio-Genes,NATHBIOGEN,Agricultural Food & other Products,Other Agricultural Products,153.12
National High,NHIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",171
National Standar,NATIONSTD,Realty,"Residential, Commercial Projects",107.74
Natl. Aluminium,NATIONALUM,Non - Ferrous Metals,Aluminium,374.1
Natl.Fertilizer,NFL,Fertilizers & Agrochemicals,Fertilizers,70.51
Natural Capsules,NATCAPSUQ,Pharmaceuticals & Biotechnology,Pharmaceuticals,216.42
Nava,NAVA,Power,Power Generation,560.2
Navin Fluo.Intl.,NAVINFLUOR,Chemicals & Petrochemicals,Specialty Chemicals,8557.5
Navkar Corporat.,NAVKARCORP,Transport Services,Logistics Solution Provider,96.24
Navkar Urban.,NAVKARURB,Construction,Civil Construction,0.9
Navneet Educat.,NAVNETEDUL,Household Products,Stationary,131.21
Nazara Technolo.,NAZARA,Entertainment,Digital Entertainment,368.65
NBCC,NBCC,Construction,Civil Construction,86.6
NBI Indl. Fin.,NBIFIN,Finance,Non Banking Financial Company (NBFC),1981.9
NCC,NCC,Construction,Civil Construction,149.7
NCL Industries,NCLIND,Cement & Cement Products,Cement & Cement Products,177.81
NDL Ventures,NDLVENTURE,Finance,Other Financial Services,124.72
NDR Auto Compon.,NDRAUTO,Auto Components,Auto Components & Equipments,723.45
NDR INVIT Trust,NDRINVIT,Commercial Services & Supplies,Diversified Commercial Services,145
NDTV,NDTV,Entertainment,TV Broadcasting & Software Production,74.27
Nectar Lifesci.,NECLIFE,Pharmaceuticals & Biotechnology,Pharmaceuticals,12.19
Neelam Linens,NEELAM,Textiles & Apparels,Other Textile Products,6.65
Neelamalai Agro,NEAGI,Agricultural Food & other Products,Tea & Coffee,3300.1
Nelcast,NELCAST,Industrial Products,Castings & Forgings,116.99
NELCO,NELCO,IT - Hardware,Computers Hardware & Equipments,911.25
Neochem Bio,NEOCHEM,Chemicals & Petrochemicals,Specialty Chemicals,95.25
Neogen Chemicals,NEOGEN,Chemicals & Petrochemicals,Specialty Chemicals,2137.9
Nephro Care,NEPHROCARE,Healthcare Services,Hospital,93.55
Nephrocare Health Services,NEPHROPLUS,Healthcare Services,Healthcare Service Provider,697.05
Neptune Pet.,NEPTUNE,Chemicals & Petrochemicals,Petrochemicals,175
NESCO,NESCO,Commercial Services & Supplies,Diversified Commercial Services,1047.6
Nestle India,NESTLEIND,Food Products,Packaged Foods,1410.5
Netweb Technol.,NETWEB,IT - Services,IT Enabled Services,5193
Network People,NPST,Financial Technology (Fintech),Financial Technology (Fintech),1718.8
Netwrk.18 Media,NETWORK18,Entertainment,Media & Entertainment,28.38
Neueon Corporation,NEUEON,Electrical Equipment,Heavy Electrical Equipment,11.22
Neuland Labs.,NEULANDLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals,22660
New India Assura,NIACL,Insurance,General Insurance,229.91
Newgen Software,NEWGEN,IT - Software,Computers - Software & Consulting,524.8
Newjaisa Tech,NEWJAISA,IT - Hardware,Computers Hardware & Equipments,17.75
Newmalayalam St.,NMSTEEL,Industrial Products,Iron & Steel Products,23.85
Next Mediaworks,NEXTMEDIA,Entertainment,Media & Entertainment,3.89
Nexus Select,NXST,Realty,Real Estate Investment Trusts (REITs),165.89
NFP Sampoorna,NFPSAMPOOR,Agricultural Food & other Products,Other Agricultural Products,20.6
NGL Fine Chem,NGLFINE,Pharmaceuticals & Biotechnology,Pharmaceuticals,2907.5
NHPC Ltd,NHPC,Power,Power Generation,76.25
NIBE,NIBE,Aerospace & Defense,Aerospace & Defense,1336.6
Nicco Parks,NICCOPAR,Leisure Services,Amusement Parks/ Other Recreation,79.55
Nidan Laborator.,NIDAN,Healthcare Services,Healthcare Service Provider,14.1
NIIT,NIITLTD,Other Consumer Services,Education,98.96
NIIT Learning,NIITMTS,Other Consumer Services,Education,225.94
Nikita Greentech Recycling,NIKITA,"Paper, Forest & Jute Products",Paper & Paper Products,72.5
Nila Infrastruct,NILAINFRA,Realty,"Residential, Commercial Projects",6.67
Nila Spaces,NILASPACES,Realty,"Residential, Commercial Projects",12.23
NILE,NILE,Minerals & Mining,Industrial Minerals,1465.8
Nilkamal Ltd,NILKAMAL,Consumer Durables,Plastic Products - Consumer,2116.5
Nimbus Projects,NIMBSPROJ,Realty,"Residential, Commercial Projects",147.84
NINtec Systems,NINSYS,IT - Software,Computers - Software & Consulting,712.75
Nippon Life Ind.,NAM-INDIA,Capital Markets,Asset Management Company,1159.9
Niraj Cement,NIRAJ,Construction,Civil Construction,28.72
Niraj Ispat Ind.,NIRAJISPAT,Consumer Durables,Plastic Products - Consumer,387.8
Nirlon,NIRLON,Commercial Services & Supplies,Diversified Commercial Services,620
Nirman Agri,NIRMAN,Agricultural Food & other Products,Other Agricultural Products,28.3
Nitco,NITCO,Consumer Durables,Ceramics,96.1
Nitin Spinners,NITINSPIN,Textiles & Apparels,Other Textile Products,639.05
Nitiraj Engineer,NITIRAJ,Consumer Durables,Consumer Electronics,219.19
Nitta Gelatin,NITTAGELA,Chemicals & Petrochemicals,Specialty Chemicals,1632.5
Niva Bupa Health,NIVABUPA,Insurance,General Insurance,80.11
NLC India,NLCINDIA,Power,Power Generation,273.05
NMDC,NMDC,Minerals & Mining,Industrial Minerals,84.7
NMDC Steel,NSLNISP,Ferrous Metals,Iron & Steel,46.02
NOCIL,NOCIL,Chemicals & Petrochemicals,Specialty Chemicals,172.44
Noida Tollbridg.,NOIDATOLL,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",4.14
Norben Tea,NORBTEAEXP,Agricultural Food & other Products,Tea & Coffee,70.69
North Eastn.Car.,NECCLTD,Transport Services,Logistics Solution Provider,18.51
Northern Arc,NORTHARC,Finance,Non Banking Financial Company (NBFC),302.15
Nova Agritech,NOVAAGRI,Fertilizers & Agrochemicals,Fertilizers,23.87
Novartis India,NOVARTIND,Pharmaceuticals & Biotechnology,Pharmaceuticals,1646.7
