Name,Symbol,Industry Group,Industry,Current Price
Arvind Ltd,ARVIND,Textiles & Apparels,Garments & Apparels,552.95
Arvind Port &,ARVINDPORT,Transport Services,Shipping,32
Arvind SmartSp.,ARVSMART,Realty,"Residential, Commercial Projects",642.5
Aryaman Fin.Serv,ARYAMAN,Finance,Non Banking Financial Company (NBFC),620.2
Asahi India Glas,ASAHIINDIA,Auto Components,Auto Components & Equipments,955.9
Asahi Songwon,ASAHISONG,Chemicals & Petrochemicals,Dyes And Pigments,372.65
Ascom Leasing &,ASCOM,Finance,Non Banking Financial Company (NBFC),210.9
Ashapura Logi.,ASHALOG,Transport Services,Logistics Solution Provider,62.5
Ashapura Minech.,ASHAPURMIN,Minerals & Mining,Industrial Minerals,551
Ashiana Housing,ASHIANA,Realty,"Residential, Commercial Projects",359.55
Ashika Global Securities.,ASHIKAG,Finance,Non Banking Financial Company (NBFC),426.85
Ashima,ASHIMASYN,Textiles & Apparels,Other Textile Products,17.89
Ashok Leyland,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,169
Ashoka Buildcon,ASHOKA,Construction,Civil Construction,115.55
Ashoka Metcast,ASHOKAMET,Metals & Minerals Trading,Trading - Metals,13.58
Ashutosh Fibre,ASHUTOSH,,,
Ashwini Contain.,ASHWINI,Transport Services,Road Transport,180
Asian Energy,ASIANENE,Oil,Oil Equipment & Services,517.45
Asian Granito,ASIANTILES,Consumer Durables,Ceramics,50.26
Asian Hotels (E),AHLEAST,Leisure Services,Hotels & Resorts,136.51
Asian Hotels (N),ASIANHOTNR,Leisure Services,Hotels & Resorts,384.75
Asian Hotels (W),AHLWEST,Leisure Services,Hotels & Resorts,530.85
Asian Paints,ASIANPAINT,Consumer Durables,Paints,2527.3
Asian Star Co.,ASTAR,Consumer Durables,"Gems, Jewellery And Watches",585
Asian Tea & Exp,ASIANTNE,Commercial Services & Supplies,Trading & Distributors,9.74
ASK Automotive,ASKAUTOLTD,Auto Components,Auto Components & Equipments,618.85
Aspinwall & Co,ASPINWALL,Transport Services,Logistics Solution Provider,259.25
Aspire & Innovat,ASPIRE,Consumer Durables,Household Appliances,13.25
Assam Entrade,ASSAMENT,Finance,Non Banking Financial Company (NBFC),830
Assoc.Alcohols,ASALCBR,Beverages,Breweries & Distilleries,706.35
Astec Lifescienc,ASTEC,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,554.45
Aster DM Quality,ASTERDM,Healthcare Services,Hospital,785.75
Astra Microwave,ASTRAMICRO,Aerospace & Defense,Aerospace & Defense,1729
Astral,ASTRAL,Industrial Products,Plastic Products - Industrial,1492.9
Astrazeneca Phar,ASTRAZEN,Pharmaceuticals & Biotechnology,Pharmaceuticals,6944
Astron Paper,ASTRON,"Paper, Forest & Jute Products",Paper & Paper Products,3.06
Atal Realtech,ATALREAL,Realty,"Residential, Commercial Projects",26.22
Atam Valves,ATAM,Industrial Manufacturing,Industrial Products,52.99
ATC Energies,ATCENERGY,Electrical Equipment,Other Electrical Equipment,22.5
Ather Energy,ATHERENERG,Automobiles,2/3 Wheelers,1584
Atlanta Electric,ATLANTAELE,Electrical Equipment,Heavy Electrical Equipment,1881.7
Atlantaa,ATLANTAA,Construction,Civil Construction,39.15
Atlas Cycles,ATLASCYCLE,Consumer Durables,Cycles,96.18
Atmastco Ltd,ATMASTCO,Construction,Civil Construction,139.5
Atul,ATUL,Chemicals & Petrochemicals,Specialty Chemicals,6386
Atul Auto,ATULAUTO,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,465.15
AU Small Finance,AUBANK,Banks,Other Bank,1065
Augmont Enterpri,AUGMONT,Non - Ferrous Metals,Precious Metals,901.5
Aurionpro Sol.,AURIONPRO,IT - Software,Computers - Software & Consulting,689.7
Auro Impex,AUROIMPEX,Industrial Products,Electrodes & Refractories,27.5
Aurobindo Pharma,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,1653.1
Aurum Proptech,AURUM,IT - Services,IT Enabled Services,225.16
AURUS GEM,AURUS,Consumer Durables,"Gems, Jewellery And Watches",4.84
Ausom Enter.,AUSOMENT,Consumer Durables,"Gems, Jewellery And Watches",161.79
Austin Engg Co,AUSTENG,Industrial Manufacturing,Industrial Products,124.7
Australian Prem,APS,Electrical Equipment,Heavy Electrical Equipment,244.75
Authum Invest,AIIL,Finance,Non Banking Financial Company (NBFC),519.9
Auto.Corp.of Goa,ACGL,Auto Components,Auto Components & Equipments,1797.6
Autoline Industr,AUTOIND,Auto Components,Auto Components & Equipments,86.45
Automotive Axles,AUTOAXLES,Auto Components,Auto Components & Equipments,1688.7
Automotive Stamp,ASAL,Auto Components,Auto Components & Equipments,473.75
Avadh Sugar,AVADHSUGAR,Agricultural Food & other Products,Sugar,809.5
Avalon Tech,AVALON,Electrical Equipment,Other Electrical Equipment,2196.6
Avana Electrosystems,AVANA,Electrical Equipment,Heavy Electrical Equipment,154.75
Avance Tech.,AVANCE,IT - Software,Software Products,0.82
Avantel,AVANTEL,Aerospace & Defense,Aerospace & Defense,154.96
Avanti Feeds,AVANTIFEED,Food Products,Animal Feed,798.6
AVATAR Industries,AVATAR,Auto Components,Auto Components & Equipments,242.4
Avenue Super.,DMART,Retailing,Diversified Retail,3770
AvenuesAI,CCAVENUE,Financial Technology (Fintech),Financial Technology (Fintech),15.7
AVG Logistics,AVG,Transport Services,Logistics Solution Provider,166.04
Avi Ansh,AVIANSH,Textiles & Apparels,Other Textile Products,102.5
Avience Biomedi.,AVIENCE,Healthcare Equipment & Supplies,Medical Equipment & Supplies,275
Avio Smart Market,ASMS,IT - Services,IT Enabled Services,7.07
Avonmore Capital,AVONMORE,Finance,Non Banking Financial Company (NBFC),13.02
AVP Infracon,AVPINFRA,Construction,Civil Construction,58.25
Avro India,AVROIND,Consumer Durables,Plastic Products - Consumer,8.72
AVSL Industries,AVSL,Industrial Products,Plastic Products - Industrial,119.7
AVT Natural Prod,AVTNPL,Agricultural Food & other Products,Other Agricultural Products,91.02
AWFIS Space,AWFIS,Commercial Services & Supplies,Diversified Commercial Services,260.8
AWL Agri Busine.,AWL,Agricultural Food & other Products,Edible Oil,187.29
Axis Bank,AXISBANK,Banks,Private Sector Bank,1273
AXISCADES Tech.,AXISCADES,Aerospace & Defense,Aerospace & Defense,1711.6
Axita Cotton,AXITA,Textiles & Apparels,Other Textile Products,8.01
Axtel Industries,AXTEL,Industrial Manufacturing,Industrial Products,394.5
Aye Finance,AYE,Finance,Non Banking Financial Company (NBFC),184.81
AYM Syntex,AYMSYNTEX,Textiles & Apparels,Other Textile Products,310.7
Azad Engineering,AZAD,Electrical Equipment,Heavy Electrical Equipment,2777.3
Azad India,AZADIND,Industrial Products,Iron & Steel Products,89.59
B & A,BNALTD,Agricultural Food & other Products,Tea & Coffee,360
B H E L,BHEL,Electrical Equipment,Heavy Electrical Equipment,431.1
B P C L,BPCL,Petroleum Products,Refineries & Marketing,315.7
B.A.G. Converge.,BAGDIGITAL,Entertainment,Digital Entertainment,105
B.C. Power,BCP,Industrial Products,Cables - Electricals,1.74
B.L.Kashyap,BLKASHYAP,Construction,Civil Construction,59.34
B&B Triplewall,BBTCL,Industrial Products,Packaging,230.22
Baazar Style,STYLEBAAZA,Retailing,Speciality Retail,400.25
Baba Food,BABAFP,Food Products,Other Food Products,23.85
Bafna Pharma.,BAFNAPH,Pharmaceuticals & Biotechnology,Pharmaceuticals,295.85
BAG Films,BAGFILMS,Entertainment,TV Broadcasting & Software Production,4.51
Bagmane Prime REIT,BAGMANE,Realty,Real Estate Investment Trusts (REITs),106.28
Baheti Recycling,BAHETI,Industrial Products,"Aluminium, Copper & Zinc Products",846
Baid Finserv,BAIDFIN,Finance,Non Banking Financial Company (NBFC),10.12
Bajaj Auto,BAJAJ-AUTO,Automobiles,2/3 Wheelers,11919
Bajaj Consumer,BAJAJCON,Personal Products,Personal Care,517.55
Bajaj Electrical,BAJAJELEC,Consumer Durables,Household Appliances,331.15
Bajaj Finance,BAJFINANCE,Finance,Non Banking Financial Company (NBFC),1060.5
Bajaj Finserv,BAJAJFINSV,Finance,Holding Company,1970
Bajaj Healthcare,BAJAJHCARE,Pharmaceuticals & Biotechnology,Pharmaceuticals,321.45
Bajaj Hindusthan,BAJAJHIND,Agricultural Food & other Products,Sugar,21.86
Bajaj Holdings,BAJAJHLDNG,Finance,Holding Company,11162
Bajaj Housing,BAJAJHFL,Finance,Housing Finance Company,83.08
Bajaj Steel Inds,BAJAJST,Industrial Manufacturing,Industrial Products,362.95
Bajel Projects,BAJEL,Electrical Equipment,Heavy Electrical Equipment,183.82
Bal Pharma,BALPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals,87.73
Balaji Amines,BALAMINES,Chemicals & Petrochemicals,Specialty Chemicals,2525.2
